==========Уровень квеста: Легкий==========
[1.0] сломать Древесина акации | Необходимый прогресс: 64 | Награда: 150 XP | ID: 0
[1.1] сломать Древесина березы | Необходимый прогресс: 64 | Награда: 150 XP | ID: 1
[1.2] сломать Древесина вишни | Необходимый прогресс: 64 | Награда: 150 XP | ID: 2
[1.3] сломать Древесина дуба | Необходимый прогресс: 64 | Награда: 150 XP | ID: 3
[1.4] сломать Древесина тропического дерева | Необходимый прогресс: 64 | Награда: 150 XP | ID: 4
[1.5] сломать Мангровая древесина | Необходимый прогресс: 64 | Награда: 150 XP | ID: 5
[1.6] сломать Древесина темного дуба | Необходимый прогресс: 64 | Награда: 150 XP | ID: 6
[1.7] сломать Древесина бледного дуба | Необходимый прогресс: 64 | Награда: 150 XP | ID: 7
[1.8] сломать Древесина сосны | Необходимый прогресс: 64 | Награда: 150 XP | ID: 8
[1.9] сломать Камень | Необходимый прогресс: 192 | Награда: 150 XP | ID: 27
[1.10] сломать Глубинный сланец | Необходимый прогресс: 192 | Награда: 150 XP | ID: 28
[1.11] сломать Гранит | Необходимый прогресс: 192 | Награда: 150 XP | ID: 29
[1.12] сломать Диорит | Необходимый прогресс: 192 | Награда: 150 XP | ID: 30
[1.13] сломать Андезит | Необходимый прогресс: 192 | Награда: 150 XP | ID: 31
[1.14] сломать Песчаник | Необходимый прогресс: 192 | Награда: 150 XP | ID: 32
[1.15] сломать Песок | Необходимый прогресс: 192 | Награда: 150 XP | ID: 45
[1.16] сломать Красный песок | Необходимый прогресс: 192 | Награда: 150 XP | ID: 46
[1.17] сломать Блок травы | Необходимый прогресс: 192 | Награда: 150 XP | ID: 47
[1.18] сломать Земля | Необходимый прогресс: 192 | Награда: 150 XP | ID: 48
[1.19] сломать Обсидиан | Необходимый прогресс: 32 | Награда: 150 XP | ID: 57
[1.20] сломать Незерак | Необходимый прогресс: 320 | Награда: 150 XP | ID: 60
[1.21] сломать Незерская золотая руда | Необходимый прогресс: 64 | Награда: 150 XP | ID: 63
[1.22] сломать Незер-кварцевая руда | Необходимый прогресс: 64 | Награда: 150 XP | ID: 64
[1.23] сломать Угольная руда | Необходимый прогресс: 64 | Награда: 150 XP | ID: 69
[1.24] сломать Медная руда | Необходимый прогресс: 64 | Награда: 150 XP | ID: 70
[1.25] сломать Железная руда | Необходимый прогресс: 128 | Награда: 150 XP | ID: 75
[1.26] сломать Лазуритовая руда | Необходимый прогресс: 128 | Награда: 150 XP | ID: 76
[1.27] сломать Редстоуновая руда | Необходимый прогресс: 128 | Награда: 150 XP | ID: 77
[1.28] сломать Древние обломки | Необходимый прогресс: 4 | Награда: 150 XP | ID: 84
[1.29] сломать Золотая руда | Необходимый прогресс: 24 | Награда: 150 XP | ID: 87
[1.30] сломать Изумрудная руда | Необходимый прогресс: 1 | Награда: 150 XP | ID: 90
[1.31] сломать Алмазная руда | Необходимый прогресс: 8 | Награда: 150 XP | ID: 93
